warehouse,city,sku,product,category,on_hand,reorder_point,unit_cost,stock_value,low_stock
Dhaka Hub,Dhaka,SKU1029,Curtain Set (V2),Home & Living,309,80,3121.26,964469.34,False
Dhaka Hub,Dhaka,SKU1030,Face Wash,Beauty,226,107,3389.72,766076.72,False
Dhaka Hub,Dhaka,SKU1031,Face Wash (V2),Beauty,31,106,4358.67,135118.77,True
Dhaka Hub,Dhaka,SKU1032,Sunscreen SPF50,Beauty,772,78,1567.34,1209986.48,False
Dhaka Hub,Dhaka,SKU1033,Sunscreen SPF50 (V2),Beauty,9,112,1761.5,15853.5,True
Dhaka Hub,Dhaka,SKU1034,Hair Serum,Beauty,769,154,2192.57,1686086.33,False
Dhaka Hub,Dhaka,SKU1035,Hair Serum (V2),Beauty,410,162,974.2,399422.0,False
Dhaka Hub,Dhaka,SKU1036,Lipstick,Beauty,7,88,715.16,5006.12,True
Dhaka Hub,Dhaka,SKU1037,Lipstick (V2),Beauty,673,161,2219.32,1493602.36,False
Dhaka Hub,Dhaka,SKU1038,Perfume,Beauty,368,97,1137.06,418438.08,False
Dhaka Hub,Dhaka,SKU1039,Perfume (V2),Beauty,182,65,3063.69,557591.58,False
Dhaka Hub,Dhaka,SKU1040,Basmati Rice 5kg,Grocery,705,87,2051.61,1446385.05,False
Dhaka Hub,Dhaka,SKU1041,Basmati Rice 5kg (V2),Grocery,651,107,3772.15,2455669.65,False
Dhaka Hub,Dhaka,SKU1042,Mustard Oil 1L,Grocery,727,65,3196.15,2323601.05,False
Dhaka Hub,Dhaka,SKU1043,Mustard Oil 1L (V2),Grocery,413,73,1508.79,623130.27,False
Dhaka Hub,Dhaka,SKU1044,Green Tea Pack,Grocery,1,109,3770.33,3770.33,True
Dhaka Hub,Dhaka,SKU1045,Green Tea Pack (V2),Grocery,509,189,3650.72,1858216.48,False
Dhaka Hub,Dhaka,SKU1046,Spice Combo,Grocery,121,149,1835.53,222099.13,True
Dhaka Hub,Dhaka,SKU1047,Spice Combo (V2),Grocery,641,190,1404.23,900111.43,False
Dhaka Hub,Dhaka,SKU1048,Honey Jar,Grocery,222,65,3118.86,692386.92,False
Dhaka Hub,Dhaka,SKU1049,Honey Jar (V2),Grocery,765,181,757.92,579808.8,False
Chattogram DC,Chattogram,SKU1000,Wireless Earbuds,Electronics,202,78,3516.71,710375.42,False
Chattogram DC,Chattogram,SKU1001,Wireless Earbuds (V2),Electronics,427,93,2059.12,879244.24,False
Chattogram DC,Chattogram,SKU1002,Power Bank,Electronics,451,74,3884.9,1752089.9,False
Chattogram DC,Chattogram,SKU1003,Power Bank (V2),Electronics,741,117,3183.55,2359010.55,False
Chattogram DC,Chattogram,SKU1004,Smartwatch,Electronics,112,88,559.67,62683.04,False
Chattogram DC,Chattogram,SKU1005,Smartwatch (V2),Electronics,531,163,4393.96,2333192.76,False
Chattogram DC,Chattogram,SKU1006,Bluetooth Speaker,Electronics,85,165,3460.96,294181.6,True
Chattogram DC,Chattogram,SKU1007,Bluetooth Speaker (V2),Electronics,748,100,3569.38,2669896.24,False
Chattogram DC,Chattogram,SKU1008,Phone Case,Electronics,493,171,707.29,348693.97,False
Chattogram DC,Chattogram,SKU1009,Phone Case (V2),Electronics,753,82,2109.18,1588212.54,False
Chattogram DC,Chattogram,SKU1010,Cotton T-Shirt,Apparel,710,65,1762.97,1251708.7,False
Chattogram DC,Chattogram,SKU1011,Cotton T-Shirt (V2),Apparel,443,83,4181.43,1852373.49,False
Chattogram DC,Chattogram,SKU1012,Panjabi,Apparel,90,94,2950.81,265572.9,True
Chattogram DC,Chattogram,SKU1013,Panjabi (V2),Apparel,125,67,3729.01,466126.25,False
Chattogram DC,Chattogram,SKU1014,Sneakers,Apparel,240,75,2078.85,498924.0,False
Chattogram DC,Chattogram,SKU1015,Sneakers (V2),Apparel,306,102,1138.49,348377.94,False
Chattogram DC,Chattogram,SKU1016,Saree,Apparel,416,179,2562.44,1065975.04,False
Chattogram DC,Chattogram,SKU1017,Saree (V2),Apparel,112,179,427.61,47892.32,True
Chattogram DC,Chattogram,SKU1018,Denim Jacket,Apparel,431,199,3750.2,1616336.2,False
Chattogram DC,Chattogram,SKU1019,Denim Jacket (V2),Apparel,326,73,2897.74,944663.24,False
Chattogram DC,Chattogram,SKU1020,Bedsheet Set,Home & Living,168,60,3447.68,579210.24,False
Chattogram DC,Chattogram,SKU1021,Bedsheet Set (V2),Home & Living,692,139,1692.19,1170995.48,False
Chattogram DC,Chattogram,SKU1022,Table Lamp,Home & Living,705,144,4372.54,3082640.7,False
Chattogram DC,Chattogram,SKU1023,Table Lamp (V2),Home & Living,747,93,4035.08,3014204.76,False
Chattogram DC,Chattogram,SKU1024,Non-stick Pan,Home & Living,265,171,3535.97,937032.05,False
Chattogram DC,Chattogram,SKU1025,Non-stick Pan (V2),Home & Living,657,193,996.68,654818.76,False
Chattogram DC,Chattogram,SKU1026,Storage Box,Home & Living,709,106,2180.24,1545790.16,False
Chattogram DC,Chattogram,SKU1027,Storage Box (V2),Home & Living,540,192,340.55,183897.0,False
Chattogram DC,Chattogram,SKU1028,Curtain Set,Home & Living,212,74,821.16,174085.92,False
Chattogram DC,Chattogram,SKU1029,Curtain Set (V2),Home & Living,402,126,3121.26,1254746.52,False
Chattogram DC,Chattogram,SKU1030,Face Wash,Beauty,555,87,3389.72,1881294.6,False
Chattogram DC,Chattogram,SKU1031,Face Wash (V2),Beauty,358,141,4358.67,1560403.86,False
Chattogram DC,Chattogram,SKU1032,Sunscreen SPF50,Beauty,466,69,1567.34,730380.44,False
Chattogram DC,Chattogram,SKU1033,Sunscreen SPF50 (V2),Beauty,81,130,1761.5,142681.5,True
Chattogram DC,Chattogram,SKU1034,Hair Serum,Beauty,296,84,2192.57,649000.72,False
Chattogram DC,Chattogram,SKU1035,Hair Serum (V2),Beauty,644,118,974.2,627384.8,False
Chattogram DC,Chattogram,SKU1036,Lipstick,Beauty,463,156,715.16,331119.08,False
Chattogram DC,Chattogram,SKU1037,Lipstick (V2),Beauty,579,106,2219.32,1284986.28,False
Chattogram DC,Chattogram,SKU1038,Perfume,Beauty,19,135,1137.06,21604.14,True
Chattogram DC,Chattogram,SKU1039,Perfume (V2),Beauty,191,196,3063.69,585164.79,True
Chattogram DC,Chattogram,SKU1040,Basmati Rice 5kg,Grocery,715,182,2051.61,1466901.15,False
Chattogram DC,Chattogram,SKU1041,Basmati Rice 5kg (V2),Grocery,626,199,3772.15,2361365.9,False
Chattogram DC,Chattogram,SKU1042,Mustard Oil 1L,Grocery,764,84,3196.15,2441858.6,False
Chattogram DC,Chattogram,SKU1043,Mustard Oil 1L (V2),Grocery,491,129,1508.79,740815.89,False
Chattogram DC,Chattogram,SKU1044,Green Tea Pack,Grocery,25,169,3770.33,94258.25,True
Chattogram DC,Chattogram,SKU1045,Green Tea Pack (V2),Grocery,87,190,3650.72,317612.64,True
Chattogram DC,Chattogram,SKU1046,Spice Combo,Grocery,556,93,1835.53,1020554.68,False
Chattogram DC,Chattogram,SKU1047,Spice Combo (V2),Grocery,29,198,1404.23,40722.67,True
Chattogram DC,Chattogram,SKU1048,Honey Jar,Grocery,646,121,3118.86,2014783.56,False
Chattogram DC,Chattogram,SKU1049,Honey Jar (V2),Grocery,643,168,757.92,487342.56,False
Sylhet DC,Sylhet,SKU1000,Wireless Earbuds,Electronics,489,132,3516.71,1719671.19,False
Sylhet DC,Sylhet,SKU1001,Wireless Earbuds (V2),Electronics,34,101,2059.12,70010.08,True
Sylhet DC,Sylhet,SKU1002,Power Bank,Electronics,248,75,3884.9,963455.2,False
Sylhet DC,Sylhet,SKU1003,Power Bank (V2),Electronics,567,82,3183.55,1805072.85,False
Sylhet DC,Sylhet,SKU1004,Smartwatch,Electronics,207,150,559.67,115851.69,False
Sylhet DC,Sylhet,SKU1005,Smartwatch (V2),Electronics,415,137,4393.96,1823493.4,False
Sylhet DC,Sylhet,SKU1006,Bluetooth Speaker,Electronics,683,120,3460.96,2363835.68,False
Sylhet DC,Sylhet,SKU1007,Bluetooth Speaker (V2),Electronics,494,147,3569.38,1763273.72,False
Sylhet DC,Sylhet,SKU1008,Phone Case,Electronics,100,131,707.29,70729.0,True
Sylhet DC,Sylhet,SKU1009,Phone Case (V2),Electronics,438,79,2109.18,923820.84,False
Sylhet DC,Sylhet,SKU1010,Cotton T-Shirt,Apparel,102,96,1762.97,179822.94,False
Sylhet DC,Sylhet,SKU1011,Cotton T-Shirt (V2),Apparel,340,120,4181.43,1421686.2,False
Sylhet DC,Sylhet,SKU1012,Panjabi,Apparel,182,115,2950.81,537047.42,False
Sylhet DC,Sylhet,SKU1013,Panjabi (V2),Apparel,233,186,3729.01,868859.33,False
Sylhet DC,Sylhet,SKU1014,Sneakers,Apparel,524,191,2078.85,1089317.4,False
Sylhet DC,Sylhet,SKU1015,Sneakers (V2),Apparel,519,134,1138.49,590876.31,False
Sylhet DC,Sylhet,SKU1016,Saree,Apparel,392,97,2562.44,1004476.48,False
Sylhet DC,Sylhet,SKU1017,Saree (V2),Apparel,142,171,427.61,60720.62,True
Sylhet DC,Sylhet,SKU1018,Denim Jacket,Apparel,311,85,3750.2,1166312.2,False
Sylhet DC,Sylhet,SKU1019,Denim Jacket (V2),Apparel,333,128,2897.74,964947.42,False
Sylhet DC,Sylhet,SKU1020,Bedsheet Set,Home & Living,536,199,3447.68,1847956.48,False
Sylhet DC,Sylhet,SKU1021,Bedsheet Set (V2),Home & Living,779,182,1692.19,1318216.01,False
Sylhet DC,Sylhet,SKU1022,Table Lamp,Home & Living,661,190,4372.54,2890248.94,False
Sylhet DC,Sylhet,SKU1023,Table Lamp (V2),Home & Living,572,73,4035.08,2308065.76,False
Sylhet DC,Sylhet,SKU1024,Non-stick Pan,Home & Living,191,124,3535.97,675370.27,False
Sylhet DC,Sylhet,SKU1025,Non-stick Pan (V2),Home & Living,627,167,996.68,624918.36,False
Sylhet DC,Sylhet,SKU1026,Storage Box,Home & Living,702,81,2180.24,1530528.48,False
Sylhet DC,Sylhet,SKU1027,Storage Box (V2),Home & Living,477,167,340.55,162442.35,False
Sylhet DC,Sylhet,SKU1028,Curtain Set,Home & Living,315,107,821.16,258665.4,False
Sylhet DC,Sylhet,SKU1029,Curtain Set (V2),Home & Living,528,184,3121.26,1648025.28,False
Sylhet DC,Sylhet,SKU1030,Face Wash,Beauty,363,118,3389.72,1230468.36,False
Sylhet DC,Sylhet,SKU1031,Face Wash (V2),Beauty,61,95,4358.67,265878.87,True
Sylhet DC,Sylhet,SKU1032,Sunscreen SPF50,Beauty,63,188,1567.34,98742.42,True
Sylhet DC,Sylhet,SKU1033,Sunscreen SPF50 (V2),Beauty,674,159,1761.5,1187251.0,False
Sylhet DC,Sylhet,SKU1034,Hair Serum,Beauty,171,124,2192.57,374929.47,False
Sylhet DC,Sylhet,SKU1035,Hair Serum (V2),Beauty,9,194,974.2,8767.8,True
Sylhet DC,Sylhet,SKU1036,Lipstick,Beauty,42,144,715.16,30036.72,True
Sylhet DC,Sylhet,SKU1037,Lipstick (V2),Beauty,396,142,2219.32,878850.72,False
Sylhet DC,Sylhet,SKU1038,Perfume,Beauty,66,110,1137.06,75045.96,True
Sylhet DC,Sylhet,SKU1039,Perfume (V2),Beauty,662,176,3063.69,2028162.78,False
Sylhet DC,Sylhet,SKU1040,Basmati Rice 5kg,Grocery,322,141,2051.61,660618.42,False
Sylhet DC,Sylhet,SKU1041,Basmati Rice 5kg (V2),Grocery,640,147,3772.15,2414176.0,False
Sylhet DC,Sylhet,SKU1042,Mustard Oil 1L,Grocery,334,191,3196.15,1067514.1,False
Sylhet DC,Sylhet,SKU1043,Mustard Oil 1L (V2),Grocery,795,97,1508.79,1199488.05,False
Sylhet DC,Sylhet,SKU1044,Green Tea Pack,Grocery,38,170,3770.33,143272.54,True
Sylhet DC,Sylhet,SKU1045,Green Tea Pack (V2),Grocery,85,173,3650.72,310311.2,True
Sylhet DC,Sylhet,SKU1046,Spice Combo,Grocery,623,68,1835.53,1143535.19,False
Sylhet DC,Sylhet,SKU1047,Spice Combo (V2),Grocery,438,161,1404.23,615052.74,False
Sylhet DC,Sylhet,SKU1048,Honey Jar,Grocery,64,176,3118.86,199607.04,True
Sylhet DC,Sylhet,SKU1049,Honey Jar (V2),Grocery,87,135,757.92,65939.04,True
Khulna DC,Khulna,SKU1000,Wireless Earbuds,Electronics,16,75,3516.71,56267.36,True
Khulna DC,Khulna,SKU1001,Wireless Earbuds (V2),Electronics,587,71,2059.12,1208703.44,False
Khulna DC,Khulna,SKU1002,Power Bank,Electronics,718,63,3884.9,2789358.2,False
Khulna DC,Khulna,SKU1003,Power Bank (V2),Electronics,501,111,3183.55,1594958.55,False
Khulna DC,Khulna,SKU1004,Smartwatch,Electronics,484,146,559.67,270880.28,False
Khulna DC,Khulna,SKU1005,Smartwatch (V2),Electronics,515,139,4393.96,2262889.4,False
Khulna DC,Khulna,SKU1006,Bluetooth Speaker,Electronics,764,131,3460.96,2644173.44,False
Khulna DC,Khulna,SKU1007,Bluetooth Speaker (V2),Electronics,681,118,3569.38,2430747.78,False
Khulna DC,Khulna,SKU1008,Phone Case,Electronics,488,155,707.29,345157.52,False
Khulna DC,Khulna,SKU1009,Phone Case (V2),Electronics,309,183,2109.18,651736.62,False
Khulna DC,Khulna,SKU1010,Cotton T-Shirt,Apparel,216,175,1762.97,380801.52,False
Khulna DC,Khulna,SKU1011,Cotton T-Shirt (V2),Apparel,151,160,4181.43,631395.93,True
Khulna DC,Khulna,SKU1012,Panjabi,Apparel,665,100,2950.81,1962288.65,False
Khulna DC,Khulna,SKU1013,Panjabi (V2),Apparel,204,191,3729.01,760718.04,False
Khulna DC,Khulna,SKU1014,Sneakers,Apparel,507,180,2078.85,1053976.95,False
Khulna DC,Khulna,SKU1015,Sneakers (V2),Apparel,758,192,1138.49,862975.42,False
Khulna DC,Khulna,SKU1016,Saree,Apparel,655,146,2562.44,1678398.2,False
Khulna DC,Khulna,SKU1017,Saree (V2),Apparel,758,106,427.61,324128.38,False
Khulna DC,Khulna,SKU1018,Denim Jacket,Apparel,436,123,3750.2,1635087.2,False
Khulna DC,Khulna,SKU1019,Denim Jacket (V2),Apparel,272,105,2897.74,788185.28,False
Khulna DC,Khulna,SKU1020,Bedsheet Set,Home & Living,777,109,3447.68,2678847.36,False
Khulna DC,Khulna,SKU1021,Bedsheet Set (V2),Home & Living,84,119,1692.19,142143.96,True
Khulna DC,Khulna,SKU1022,Table Lamp,Home & Living,299,190,4372.54,1307389.46,False
Khulna DC,Khulna,SKU1023,Table Lamp (V2),Home & Living,623,129,4035.08,2513854.84,False
Khulna DC,Khulna,SKU1024,Non-stick Pan,Home & Living,662,116,3535.97,2340812.14,False
Khulna DC,Khulna,SKU1025,Non-stick Pan (V2),Home & Living,178,149,996.68,177409.04,False
Khulna DC,Khulna,SKU1026,Storage Box,Home & Living,497,100,2180.24,1083579.28,False
Khulna DC,Khulna,SKU1027,Storage Box (V2),Home & Living,136,61,340.55,46314.8,False
Khulna DC,Khulna,SKU1028,Curtain Set,Home & Living,307,162,821.16,252096.12,False
Khulna DC,Khulna,SKU1029,Curtain Set (V2),Home & Living,643,106,3121.26,2006970.18,False
Khulna DC,Khulna,SKU1030,Face Wash,Beauty,530,93,3389.72,1796551.6,False
Khulna DC,Khulna,SKU1031,Face Wash (V2),Beauty,150,134,4358.67,653800.5,False
Khulna DC,Khulna,SKU1032,Sunscreen SPF50,Beauty,249,82,1567.34,390267.66,False
Khulna DC,Khulna,SKU1033,Sunscreen SPF50 (V2),Beauty,192,98,1761.5,338208.0,False
Khulna DC,Khulna,SKU1034,Hair Serum,Beauty,251,131,2192.57,550335.07,False
Khulna DC,Khulna,SKU1035,Hair Serum (V2),Beauty,697,196,974.2,679017.4,False
Khulna DC,Khulna,SKU1036,Lipstick,Beauty,459,94,715.16,328258.44,False
Khulna DC,Khulna,SKU1037,Lipstick (V2),Beauty,155,125,2219.32,343994.6,False
Khulna DC,Khulna,SKU1038,Perfume,Beauty,539,133,1137.06,612875.34,False
Khulna DC,Khulna,SKU1039,Perfume (V2),Beauty,105,159,3063.69,321687.45,True
Khulna DC,Khulna,SKU1040,Basmati Rice 5kg,Grocery,248,133,2051.61,508799.28,False
Khulna DC,Khulna,SKU1041,Basmati Rice 5kg (V2),Grocery,687,162,3772.15,2591467.05,False
Khulna DC,Khulna,SKU1042,Mustard Oil 1L,Grocery,421,180,3196.15,1345579.15,False
Khulna DC,Khulna,SKU1043,Mustard Oil 1L (V2),Grocery,160,99,1508.79,241406.4,False
Khulna DC,Khulna,SKU1044,Green Tea Pack,Grocery,214,176,3770.33,806850.62,False
Khulna DC,Khulna,SKU1045,Green Tea Pack (V2),Grocery,670,96,3650.72,2445982.4,False
Khulna DC,Khulna,SKU1046,Spice Combo,Grocery,153,173,1835.53,280836.09,True
Khulna DC,Khulna,SKU1047,Spice Combo (V2),Grocery,360,149,1404.23,505522.8,False
Khulna DC,Khulna,SKU1048,Honey Jar,Grocery,158,139,3118.86,492779.88,False
Khulna DC,Khulna,SKU1049,Honey Jar (V2),Grocery,547,124,757.92,414582.24,False
Rajshahi DC,Rajshahi,SKU1000,Wireless Earbuds,Electronics,656,136,3516.71,2306961.76,False
Rajshahi DC,Rajshahi,SKU1001,Wireless Earbuds (V2),Electronics,430,92,2059.12,885421.6,False
Rajshahi DC,Rajshahi,SKU1002,Power Bank,Electronics,534,129,3884.9,2074536.6,False
Rajshahi DC,Rajshahi,SKU1003,Power Bank (V2),Electronics,519,145,3183.55,1652262.45,False
Rajshahi DC,Rajshahi,SKU1004,Smartwatch,Electronics,294,113,559.67,164542.98,False
Rajshahi DC,Rajshahi,SKU1005,Smartwatch (V2),Electronics,249,113,4393.96,1094096.04,False
Rajshahi DC,Rajshahi,SKU1006,Bluetooth Speaker,Electronics,676,108,3460.96,2339608.96,False
Rajshahi DC,Rajshahi,SKU1007,Bluetooth Speaker (V2),Electronics,97,174,3569.38,346229.86,True
Rajshahi DC,Rajshahi,SKU1008,Phone Case,Electronics,174,113,707.29,123068.46,False
Rajshahi DC,Rajshahi,SKU1009,Phone Case (V2),Electronics,161,141,2109.18,339577.98,False
Rajshahi DC,Rajshahi,SKU1010,Cotton T-Shirt,Apparel,213,196,1762.97,375512.61,False
Rajshahi DC,Rajshahi,SKU1011,Cotton T-Shirt (V2),Apparel,341,64,4181.43,1425867.63,False
Rajshahi DC,Rajshahi,SKU1012,Panjabi,Apparel,442,90,2950.81,1304258.02,False
Rajshahi DC,Rajshahi,SKU1013,Panjabi (V2),Apparel,280,189,3729.01,1044122.8,False
Rajshahi DC,Rajshahi,SKU1014,Sneakers,Apparel,143,160,2078.85,297275.55,True
Rajshahi DC,Rajshahi,SKU1015,Sneakers (V2),Apparel,551,112,1138.49,627307.99,False
Rajshahi DC,Rajshahi,SKU1016,Saree,Apparel,354,72,2562.44,907103.76,False
Rajshahi DC,Rajshahi,SKU1017,Saree (V2),Apparel,382,131,427.61,163347.02,False
Rajshahi DC,Rajshahi,SKU1018,Denim Jacket,Apparel,478,169,3750.2,1792595.6,False
Rajshahi DC,Rajshahi,SKU1019,Denim Jacket (V2),Apparel,743,119,2897.74,2153020.82,False
Rajshahi DC,Rajshahi,SKU1020,Bedsheet Set,Home & Living,706,178,3447.68,2434062.08,False
Rajshahi DC,Rajshahi,SKU1021,Bedsheet Set (V2),Home & Living,245,100,1692.19,414586.55,False
Rajshahi DC,Rajshahi,SKU1022,Table Lamp,Home & Living,429,129,4372.54,1875819.66,False
Rajshahi DC,Rajshahi,SKU1023,Table Lamp (V2),Home & Living,297,72,4035.08,1198418.76,False
Rajshahi DC,Rajshahi,SKU1024,Non-stick Pan,Home & Living,635,133,3535.97,2245340.95,False
Rajshahi DC,Rajshahi,SKU1025,Non-stick Pan (V2),Home & Living,140,180,996.68,139535.2,True
Rajshahi DC,Rajshahi,SKU1026,Storage Box,Home & Living,740,81,2180.24,1613377.6,False
Rajshahi DC,Rajshahi,SKU1027,Storage Box (V2),Home & Living,420,145,340.55,143031.0,False
Rajshahi DC,Rajshahi,SKU1028,Curtain Set,Home & Living,189,103,821.16,155199.24,False
Rajshahi DC,Rajshahi,SKU1029,Curtain Set (V2),Home & Living,308,109,3121.26,961348.08,False
Rajshahi DC,Rajshahi,SKU1030,Face Wash,Beauty,540,61,3389.72,1830448.8,False
Rajshahi DC,Rajshahi,SKU1031,Face Wash (V2),Beauty,520,134,4358.67,2266508.4,False
Rajshahi DC,Rajshahi,SKU1032,Sunscreen SPF50,Beauty,606,197,1567.34,949808.04,False
Rajshahi DC,Rajshahi,SKU1033,Sunscreen SPF50 (V2),Beauty,345,80,1761.5,607717.5,False
Rajshahi DC,Rajshahi,SKU1034,Hair Serum,Beauty,349,92,2192.57,765206.93,False
Rajshahi DC,Rajshahi,SKU1035,Hair Serum (V2),Beauty,407,91,974.2,396499.4,False
Rajshahi DC,Rajshahi,SKU1036,Lipstick,Beauty,8,138,715.16,5721.28,True
Rajshahi DC,Rajshahi,SKU1037,Lipstick (V2),Beauty,257,86,2219.32,570365.24,False
Rajshahi DC,Rajshahi,SKU1038,Perfume,Beauty,1,193,1137.06,1137.06,True
Rajshahi DC,Rajshahi,SKU1039,Perfume (V2),Beauty,670,157,3063.69,2052672.3,False
Rajshahi DC,Rajshahi,SKU1040,Basmati Rice 5kg,Grocery,296,147,2051.61,607276.56,False
Rajshahi DC,Rajshahi,SKU1041,Basmati Rice 5kg (V2),Grocery,429,60,3772.15,1618252.35,False
Rajshahi DC,Rajshahi,SKU1042,Mustard Oil 1L,Grocery,730,125,3196.15,2333189.5,False
Rajshahi DC,Rajshahi,SKU1043,Mustard Oil 1L (V2),Grocery,371,173,1508.79,559761.09,False
Rajshahi DC,Rajshahi,SKU1044,Green Tea Pack,Grocery,569,130,3770.33,2145317.77,False
Rajshahi DC,Rajshahi,SKU1045,Green Tea Pack (V2),Grocery,680,163,3650.72,2482489.6,False
Rajshahi DC,Rajshahi,SKU1046,Spice Combo,Grocery,460,155,1835.53,844343.8,False
Rajshahi DC,Rajshahi,SKU1047,Spice Combo (V2),Grocery,131,190,1404.23,183954.13,True
Rajshahi DC,Rajshahi,SKU1048,Honey Jar,Grocery,705,111,3118.86,2198796.3,False
Rajshahi DC,Rajshahi,SKU1049,Honey Jar (V2),Grocery,31,175,757.92,23495.52,True
