shipment_id,order_code,package_code,order_date,origin_warehouse,destination_hub,destination_region,carrier,status,seller_code,shop_name,seller_region,weight_kg,pending_to_delivered_hours
SHP100037,ORD100037,PKG100037,2026-06-15,Chattogram DC,Sylhet Hub,Sylhet,Pathao Courier,Delayed,SEL1039,Silver Depot,Dhaka,7.44,36.96
SHP100038,ORD100038,PKG100038,2026-07-06,Khulna DC,Dhaka Hub,Dhaka,eCourier,Delivered,SEL1002,Bengal Hub,Barisal,4.95,43.91
SHP100039,ORD100039,PKG100039,2025-10-24,Chattogram DC,Mymensingh Hub,Mymensingh,Pathao Courier,Delivered,SEL1021,Horizon Collection,Narayanganj,0.56,31.05
SHP100040,ORD100040,PKG100040,2026-05-17,Khulna DC,Rangpur Hub,Rangpur,Sundarban Courier,Delivered,SEL1032,Prime Trading,Khulna,2.83,43.61
SHP100041,ORD100041,PKG100041,2025-11-02,Dhaka Hub,Chattogram Hub,Chattogram,eCourier,Delivered,SEL1026,Metro Outlet,Sylhet,9.36,27.65
SHP100042,ORD100042,PKG100042,2026-01-06,Dhaka Hub,Rajshahi Hub,Rajshahi,RedX,Delivered,SEL1036,Royal Emporium,Comilla,3.13,32.05
SHP100043,ORD100043,PKG100043,2026-03-27,Khulna DC,Rajshahi Hub,Rajshahi,Pathao Courier,Delayed,SEL1010,Elite Gallery,Sylhet,9.85,25.79
SHP100044,ORD100044,PKG100044,2026-05-08,Khulna DC,Dhaka Hub,Dhaka,Sundarban Courier,In Transit,SEL1026,Metro Outlet,Sylhet,5.71,34.49
SHP100045,ORD100045,PKG100045,2026-06-30,Dhaka Hub,Rangpur Hub,Rangpur,Steadfast Courier,Delivered,SEL1045,Smart Store,Dhaka,5.78,28.06
SHP100046,ORD100046,PKG100046,2025-09-16,Rajshahi DC,Khulna Hub,Khulna,Sundarban Courier,Delivered,SEL1020,Horizon Bazaar,Dhaka,9.29,47.53
SHP100047,ORD100047,PKG100047,2025-11-07,Dhaka Hub,Comilla Hub,Comilla,Pathao Courier,Delivered,SEL1009,Elite Emporium,Dhaka,4.72,25.27
SHP100048,ORD100048,PKG100048,2025-12-07,Rajshahi DC,Chattogram Hub,Chattogram,Pathao Courier,Delivered,SEL1050,Suncity Retail,Chattogram,3.01,24.53
SHP100049,ORD100049,PKG100049,2025-12-17,Khulna DC,Comilla Hub,Comilla,Sundarban Courier,Returned,SEL1046,Smart Traders,Comilla,1.44,29.66
SHP100050,ORD100050,PKG100050,2026-08-12,Rajshahi DC,Dhaka Hub,Dhaka,Steadfast Courier,Delivered Late,SEL1040,Silver Emporium,Barisal,8.13,38.42
SHP100051,ORD100051,PKG100051,2026-05-27,Rajshahi DC,Mymensingh Hub,Mymensingh,Sundarban Courier,Delivered,SEL1047,Suncity Depot,Dhaka,5.75,45.46
SHP100052,ORD100052,PKG100052,2025-12-20,Chattogram DC,Mymensingh Hub,Mymensingh,Pathao Courier,In Transit,SEL1046,Smart Traders,Comilla,9.75,26.66
SHP100053,ORD100053,PKG100053,2026-08-03,Khulna DC,Rajshahi Hub,Rajshahi,RedX,Delivered,SEL1044,Smart Mart,Rangpur,5.6,27.23
SHP100054,ORD100054,PKG100054,2026-02-20,Chattogram DC,Sylhet Hub,Sylhet,Pathao Courier,Cancelled,SEL1030,Nova Retail,Dhaka,5.09,39.44
SHP100055,ORD100055,PKG100055,2026-02-21,Sylhet DC,Chattogram Hub,Chattogram,Pathao Courier,Delivered,SEL1001,Bengal Emporium,Rangpur,3.73,34.13
SHP100056,ORD100056,PKG100056,2026-01-29,Chattogram DC,Khulna Hub,Khulna,Steadfast Courier,Delivered,SEL1035,Riverside Gallery,Mymensingh,2.55,35.11
SHP100057,ORD100057,PKG100057,2025-10-20,Sylhet DC,Rangpur Hub,Rangpur,eCourier,Delivered Late,SEL1016,Golden Hub,Comilla,10.0,36.83
SHP100058,ORD100058,PKG100058,2026-07-21,Rajshahi DC,Mymensingh Hub,Mymensingh,Pathao Courier,Delivered,SEL1046,Smart Traders,Comilla,1.32,35.28
SHP100059,ORD100059,PKG100059,2025-09-05,Sylhet DC,Chattogram Hub,Chattogram,Sundarban Courier,Delivered,SEL1028,Modern Depot,Khulna,10.85,51.71
SHP100060,ORD100060,PKG100060,2025-10-31,Dhaka Hub,Dhaka Hub,Dhaka,Pathao Courier,Delivered,SEL1054,Trendy Trading,Narayanganj,0.52,24.78
SHP100061,ORD100061,PKG100061,2025-11-19,Chattogram DC,Barisal Hub,Barisal,Pathao Courier,Delivered,SEL1035,Riverside Gallery,Mymensingh,6.36,31.44
SHP100062,ORD100062,PKG100062,2025-12-06,Khulna DC,Barisal Hub,Barisal,RedX,Delivered,SEL1033,Riverside Collection,Sylhet,0.89,27.99
SHP100063,ORD100063,PKG100063,2025-10-16,Sylhet DC,Narayanganj Hub,Narayanganj,RedX,Delivered,SEL1055,Urban Collection,Chattogram,9.4,20.49
SHP100064,ORD100064,PKG100064,2025-09-07,Sylhet DC,Mymensingh Hub,Mymensingh,eCourier,Delivered,SEL1028,Modern Depot,Khulna,2.7,47.16
SHP100065,ORD100065,PKG100065,2026-04-23,Sylhet DC,Barisal Hub,Barisal,Steadfast Courier,In Transit,SEL1022,Horizon Depot,Sylhet,6.88,43.99
SHP100066,ORD100066,PKG100066,2026-08-02,Chattogram DC,Barisal Hub,Barisal,Pathao Courier,Delivered,SEL1022,Horizon Depot,Sylhet,11.01,33.38
SHP100067,ORD100067,PKG100067,2025-10-13,Sylhet DC,Rangpur Hub,Rangpur,Steadfast Courier,Delivered,SEL1052,Trendy Collection,Rangpur,7.86,39.1
SHP100068,ORD100068,PKG100068,2025-12-12,Khulna DC,Rajshahi Hub,Rajshahi,RedX,Delivered,SEL1045,Smart Store,Dhaka,2.3,25.12
SHP100069,ORD100069,PKG100069,2026-02-23,Rajshahi DC,Rangpur Hub,Rangpur,Pathao Courier,Delivered,SEL1009,Elite Emporium,Dhaka,9.6,27.73
SHP100070,ORD100070,PKG100070,2026-07-18,Khulna DC,Chattogram Hub,Chattogram,eCourier,Returned,SEL1029,Modern Emporium,Sylhet,5.41,46.01
SHP100071,ORD100071,PKG100071,2026-04-29,Rajshahi DC,Comilla Hub,Comilla,Pathao Courier,Delivered,SEL1022,Horizon Depot,Sylhet,0.36,18.82
SHP100072,ORD100072,PKG100072,2026-05-24,Rajshahi DC,Comilla Hub,Comilla,RedX,Delivered,SEL1038,Royal Outlet,Khulna,5.94,20.46
SHP100073,ORD100073,PKG100073,2026-03-21,Dhaka Hub,Rajshahi Hub,Rajshahi,eCourier,Delivered,SEL1003,Classic Fashion House,Sylhet,9.79,23.59
SHP100074,ORD100074,PKG100074,2026-01-23,Chattogram DC,Rajshahi Hub,Rajshahi,Pathao Courier,Delivered,SEL1042,Smart Bazaar,Rajshahi,5.27,18.48
SHP100075,ORD100075,PKG100075,2025-11-09,Chattogram DC,Rajshahi Hub,Rajshahi,Steadfast Courier,Delivered,SEL1044,Smart Mart,Rangpur,9.15,21.78
SHP100076,ORD100076,PKG100076,2026-06-27,Dhaka Hub,Comilla Hub,Comilla,Pathao Courier,Delivered,SEL1013,Elite Trading,Dhaka,8.53,21.64
SHP100077,ORD100077,PKG100077,2026-06-06,Dhaka Hub,Chattogram Hub,Chattogram,eCourier,Delivered,SEL1009,Elite Emporium,Dhaka,5.59,37.88
SHP100078,ORD100078,PKG100078,2025-09-09,Khulna DC,Khulna Hub,Khulna,Pathao Courier,Delivered,SEL1037,Royal Gallery,Dhaka,4.01,25.04
SHP100079,ORD100079,PKG100079,2026-05-06,Chattogram DC,Rangpur Hub,Rangpur,Pathao Courier,Delivered,SEL1015,Fresh Trading,Dhaka,8.77,28.58
SHP100080,ORD100080,PKG100080,2025-09-30,Dhaka Hub,Rangpur Hub,Rangpur,Sundarban Courier,Delivered,SEL1056,Urban Store,Khulna,4.55,31.43
SHP100081,ORD100081,PKG100081,2026-05-14,Chattogram DC,Sylhet Hub,Sylhet,eCourier,Delivered,SEL1046,Smart Traders,Comilla,2.21,35.05
SHP100082,ORD100082,PKG100082,2026-06-13,Chattogram DC,Chattogram Hub,Chattogram,Pathao Courier,Delivered,SEL1057,Value Hub,Dhaka,3.99,25.59
SHP100083,ORD100083,PKG100083,2025-10-16,Dhaka Hub,Barisal Hub,Barisal,Steadfast Courier,Delivered,SEL1032,Prime Trading,Khulna,10.55,36.67
SHP100084,ORD100084,PKG100084,2026-01-29,Dhaka Hub,Rangpur Hub,Rangpur,Pathao Courier,Delivered,SEL1056,Urban Store,Khulna,3.54,22.5
SHP100085,ORD100085,PKG100085,2025-10-13,Khulna DC,Mymensingh Hub,Mymensingh,Sundarban Courier,Delivered,SEL1000,Bengal Bazaar,Mymensingh,2.97,50.12
SHP100086,ORD100086,PKG100086,2026-03-16,Rajshahi DC,Dhaka Hub,Dhaka,Sundarban Courier,Delivered,SEL1017,Golden Outlet,Khulna,1.77,35.37
SHP100087,ORD100087,PKG100087,2026-07-18,Sylhet DC,Dhaka Hub,Dhaka,Pathao Courier,Delivered,SEL1000,Bengal Bazaar,Mymensingh,0.85,27.93
SHP100088,ORD100088,PKG100088,2025-09-28,Khulna DC,Khulna Hub,Khulna,Steadfast Courier,Delivered,SEL1040,Silver Emporium,Barisal,11.72,29.16
SHP100089,ORD100089,PKG100089,2026-01-16,Rajshahi DC,Barisal Hub,Barisal,Sundarban Courier,Delivered,SEL1030,Nova Retail,Dhaka,6.53,38.56
SHP100090,ORD100090,PKG100090,2026-08-03,Rajshahi DC,Dhaka Hub,Dhaka,RedX,Delivered,SEL1017,Golden Outlet,Khulna,8.81,29.38
SHP100091,ORD100091,PKG100091,2025-12-14,Dhaka Hub,Chattogram Hub,Chattogram,RedX,Delivered,SEL1018,Golden Store,Chattogram,9.32,25.73
SHP100092,ORD100092,PKG100092,2025-10-16,Rajshahi DC,Rajshahi Hub,Rajshahi,RedX,Delivered,SEL1038,Royal Outlet,Khulna,4.36,18.54
SHP100093,ORD100093,PKG100093,2026-02-17,Dhaka Hub,Sylhet Hub,Sylhet,RedX,Delivered,SEL1010,Elite Gallery,Sylhet,9.63,30.47
SHP100094,ORD100094,PKG100094,2026-02-23,Dhaka Hub,Mymensingh Hub,Mymensingh,Steadfast Courier,Delivered,SEL1030,Nova Retail,Dhaka,11.55,37.69
SHP100095,ORD100095,PKG100095,2026-04-18,Sylhet DC,Dhaka Hub,Dhaka,RedX,In Transit,SEL1036,Royal Emporium,Comilla,8.95,23.81
SHP100096,ORD100096,PKG100096,2025-12-18,Khulna DC,Comilla Hub,Comilla,RedX,Delivered,SEL1014,Fresh Hub,Khulna,8.6,17.7
SHP100097,ORD100097,PKG100097,2026-07-28,Dhaka Hub,Chattogram Hub,Chattogram,RedX,Delivered,SEL1013,Elite Trading,Dhaka,5.3,25.58
SHP100098,ORD100098,PKG100098,2026-02-28,Chattogram DC,Rajshahi Hub,Rajshahi,RedX,Delivered,SEL1021,Horizon Collection,Narayanganj,10.13,19.64
SHP100099,ORD100099,PKG100099,2025-12-09,Chattogram DC,Narayanganj Hub,Narayanganj,Sundarban Courier,Delivered,SEL1035,Riverside Gallery,Mymensingh,1.25,51.17
SHP100100,ORD100100,PKG100100,2026-07-30,Chattogram DC,Rangpur Hub,Rangpur,RedX,In Transit,SEL1015,Fresh Trading,Dhaka,9.05,32.18
SHP100101,ORD100101,PKG100101,2026-07-17,Rajshahi DC,Narayanganj Hub,Narayanganj,Sundarban Courier,Delivered,SEL1022,Horizon Depot,Sylhet,4.47,42.68
SHP100102,ORD100102,PKG100102,2026-02-20,Chattogram DC,Dhaka Hub,Dhaka,eCourier,Delivered,SEL1032,Prime Trading,Khulna,6.88,35.76
SHP100103,ORD100103,PKG100103,2025-09-09,Chattogram DC,Mymensingh Hub,Mymensingh,Steadfast Courier,Delivered,SEL1011,Elite Outlet,Chattogram,10.74,37.55
SHP100104,ORD100104,PKG100104,2026-03-26,Dhaka Hub,Dhaka Hub,Dhaka,Steadfast Courier,Delivered Late,SEL1034,Riverside Emporium,Dhaka,7.34,23.65
SHP100105,ORD100105,PKG100105,2026-03-12,Dhaka Hub,Rangpur Hub,Rangpur,eCourier,Returned,SEL1008,Elite Depot,Chattogram,0.5,33.92
SHP100106,ORD100106,PKG100106,2025-10-22,Dhaka Hub,Khulna Hub,Khulna,RedX,Delivered,SEL1008,Elite Depot,Chattogram,8.73,24.73
SHP100107,ORD100107,PKG100107,2026-04-08,Sylhet DC,Mymensingh Hub,Mymensingh,eCourier,Delivered,SEL1014,Fresh Hub,Khulna,11.16,33.68
SHP100108,ORD100108,PKG100108,2026-06-18,Sylhet DC,Chattogram Hub,Chattogram,Pathao Courier,Delivered,SEL1017,Golden Outlet,Khulna,7.78,33.92
SHP100109,ORD100109,PKG100109,2025-10-07,Sylhet DC,Comilla Hub,Comilla,Sundarban Courier,Returned,SEL1001,Bengal Emporium,Rangpur,10.36,19.57
SHP100110,ORD100110,PKG100110,2026-05-09,Rajshahi DC,Rajshahi Hub,Rajshahi,Pathao Courier,Delivered,SEL1057,Value Hub,Dhaka,9.94,17.67
SHP100111,ORD100111,PKG100111,2025-10-19,Sylhet DC,Barisal Hub,Barisal,Pathao Courier,Delivered,SEL1018,Golden Store,Chattogram,10.36,31.92
SHP100112,ORD100112,PKG100112,2026-05-18,Dhaka Hub,Barisal Hub,Barisal,Steadfast Courier,Delivered,SEL1048,Suncity Emporium,Dhaka,4.26,40.47
SHP100113,ORD100113,PKG100113,2026-01-24,Chattogram DC,Dhaka Hub,Dhaka,Steadfast Courier,Delivered,SEL1054,Trendy Trading,Narayanganj,5.8,37.05
SHP100114,ORD100114,PKG100114,2025-09-03,Chattogram DC,Khulna Hub,Khulna,RedX,Delivered,SEL1048,Suncity Emporium,Dhaka,10.21,27.55
SHP100115,ORD100115,PKG100115,2026-08-01,Rajshahi DC,Mymensingh Hub,Mymensingh,Pathao Courier,Delivered Late,SEL1049,Suncity Gallery,Khulna,10.94,25.64
SHP100116,ORD100116,PKG100116,2025-10-28,Chattogram DC,Narayanganj Hub,Narayanganj,RedX,Delivered,SEL1006,Delta Store,Rajshahi,1.93,28.93
SHP100117,ORD100117,PKG100117,2026-03-26,Dhaka Hub,Narayanganj Hub,Narayanganj,Sundarban Courier,Delivered,SEL1022,Horizon Depot,Sylhet,2.34,35.44
SHP100118,ORD100118,PKG100118,2025-11-02,Khulna DC,Barisal Hub,Barisal,eCourier,Returned,SEL1044,Smart Mart,Rangpur,4.29,28.16
SHP100119,ORD100119,PKG100119,2026-07-20,Sylhet DC,Sylhet Hub,Sylhet,Steadfast Courier,Delayed,SEL1034,Riverside Emporium,Dhaka,9.29,24.88
SHP100120,ORD100120,PKG100120,2026-05-14,Dhaka Hub,Rajshahi Hub,Rajshahi,Sundarban Courier,Delivered,SEL1000,Bengal Bazaar,Mymensingh,10.52,32.52
SHP100121,ORD100121,PKG100121,2026-06-06,Khulna DC,Rajshahi Hub,Rajshahi,Pathao Courier,Delivered,SEL1034,Riverside Emporium,Dhaka,7.05,23.74
SHP100122,ORD100122,PKG100122,2026-01-28,Chattogram DC,Khulna Hub,Khulna,Pathao Courier,In Transit,SEL1048,Suncity Emporium,Dhaka,1.54,39.45
SHP100123,ORD100123,PKG100123,2026-02-09,Rajshahi DC,Khulna Hub,Khulna,Pathao Courier,Delivered,SEL1049,Suncity Gallery,Khulna,3.78,33.32
SHP100124,ORD100124,PKG100124,2026-04-08,Rajshahi DC,Comilla Hub,Comilla,Sundarban Courier,Cancelled,SEL1023,Horizon Shop,Rangpur,10.31,35.33
SHP100125,ORD100125,PKG100125,2026-05-30,Chattogram DC,Khulna Hub,Khulna,Pathao Courier,Delivered,SEL1014,Fresh Hub,Khulna,4.3,39.14
SHP100126,ORD100126,PKG100126,2026-06-21,Sylhet DC,Dhaka Hub,Dhaka,Pathao Courier,Delivered Late,SEL1018,Golden Store,Chattogram,1.41,29.75
SHP100127,ORD100127,PKG100127,2025-09-07,Sylhet DC,Mymensingh Hub,Mymensingh,Pathao Courier,Delivered,SEL1017,Golden Outlet,Khulna,3.76,34.75
SHP100128,ORD100128,PKG100128,2026-04-18,Khulna DC,Rangpur Hub,Rangpur,Pathao Courier,Delivered,SEL1020,Horizon Bazaar,Dhaka,9.72,37.93
SHP100129,ORD100129,PKG100129,2025-10-08,Dhaka Hub,Khulna Hub,Khulna,eCourier,Delivered Late,SEL1018,Golden Store,Chattogram,6.02,30.75
SHP100130,ORD100130,PKG100130,2025-12-09,Chattogram DC,Rangpur Hub,Rangpur,Pathao Courier,Delivered,SEL1027,Modern Corner,Comilla,2.22,20.98
SHP100131,ORD100131,PKG100131,2026-06-14,Dhaka Hub,Narayanganj Hub,Narayanganj,Steadfast Courier,Delivered,SEL1002,Bengal Hub,Barisal,3.89,42.64
SHP100132,ORD100132,PKG100132,2025-11-26,Khulna DC,Narayanganj Hub,Narayanganj,Pathao Courier,Delivered,SEL1016,Golden Hub,Comilla,11.45,31.78
SHP100133,ORD100133,PKG100133,2026-06-03,Dhaka Hub,Mymensingh Hub,Mymensingh,Pathao Courier,Delivered,SEL1018,Golden Store,Chattogram,5.3,27.18
SHP100134,ORD100134,PKG100134,2026-02-08,Sylhet DC,Barisal Hub,Barisal,Pathao Courier,Delivered,SEL1009,Elite Emporium,Dhaka,5.41,34.79
SHP100135,ORD100135,PKG100135,2025-11-20,Khulna DC,Dhaka Hub,Dhaka,eCourier,Delivered,SEL1052,Trendy Collection,Rangpur,2.01,29.33
SHP100136,ORD100136,PKG100136,2025-12-25,Rajshahi DC,Barisal Hub,Barisal,Pathao Courier,Delivered,SEL1040,Silver Emporium,Barisal,3.79,25.05
SHP100137,ORD100137,PKG100137,2026-03-03,Chattogram DC,Comilla Hub,Comilla,RedX,Delivered,SEL1054,Trendy Trading,Narayanganj,9.81,20.77
SHP100138,ORD100138,PKG100138,2026-05-23,Dhaka Hub,Comilla Hub,Comilla,Pathao Courier,Delivered,SEL1033,Riverside Collection,Sylhet,9.48,27.87
SHP100139,ORD100139,PKG100139,2026-03-29,Khulna DC,Mymensingh Hub,Mymensingh,Steadfast Courier,In Transit,SEL1006,Delta Store,Rajshahi,5.34,33.75
SHP100140,ORD100140,PKG100140,2026-07-20,Dhaka Hub,Narayanganj Hub,Narayanganj,Pathao Courier,Delivered,SEL1054,Trendy Trading,Narayanganj,10.75,41.77
SHP100141,ORD100141,PKG100141,2026-06-28,Dhaka Hub,Barisal Hub,Barisal,Sundarban Courier,Delivered Late,SEL1027,Modern Corner,Comilla,4.69,53.24
SHP100142,ORD100142,PKG100142,2026-05-19,Rajshahi DC,Chattogram Hub,Chattogram,eCourier,Delivered,SEL1041,Silver Hub,Chattogram,10.4,33.4
SHP100143,ORD100143,PKG100143,2026-03-28,Rajshahi DC,Rajshahi Hub,Rajshahi,Pathao Courier,Delivered,SEL1022,Horizon Depot,Sylhet,0.57,18.61
SHP100144,ORD100144,PKG100144,2025-12-10,Khulna DC,Khulna Hub,Khulna,Pathao Courier,Delivered,SEL1029,Modern Emporium,Sylhet,4.3,18.61
SHP100145,ORD100145,PKG100145,2026-01-21,Rajshahi DC,Comilla Hub,Comilla,eCourier,Delivered,SEL1029,Modern Emporium,Sylhet,10.29,30.91
SHP100146,ORD100146,PKG100146,2025-10-12,Dhaka Hub,Mymensingh Hub,Mymensingh,Pathao Courier,Delivered,SEL1017,Golden Outlet,Khulna,10.84,25.07
SHP100147,ORD100147,PKG100147,2026-01-08,Dhaka Hub,Rajshahi Hub,Rajshahi,Pathao Courier,Delivered Late,SEL1033,Riverside Collection,Sylhet,9.13,27.44
SHP100148,ORD100148,PKG100148,2026-07-18,Chattogram DC,Khulna Hub,Khulna,Sundarban Courier,Delivered,SEL1044,Smart Mart,Rangpur,8.1,46.4
SHP100149,ORD100149,PKG100149,2026-01-26,Dhaka Hub,Chattogram Hub,Chattogram,Pathao Courier,Delivered,SEL1001,Bengal Emporium,Rangpur,9.82,21.97
SHP100150,ORD100150,PKG100150,2025-10-10,Rajshahi DC,Dhaka Hub,Dhaka,Steadfast Courier,In Transit,SEL1007,Delta Trading,Dhaka,8.55,28.26
SHP100151,ORD100151,PKG100151,2026-04-14,Dhaka Hub,Khulna Hub,Khulna,RedX,Delivered,SEL1050,Suncity Retail,Chattogram,3.2,32.74
SHP100152,ORD100152,PKG100152,2026-07-31,Sylhet DC,Sylhet Hub,Sylhet,RedX,In Transit,SEL1034,Riverside Emporium,Dhaka,5.7,26.63
SHP100153,ORD100153,PKG100153,2026-06-28,Rajshahi DC,Sylhet Hub,Sylhet,Pathao Courier,Delivered,SEL1058,Value Mart,Comilla,8.0,42.31
SHP100154,ORD100154,PKG100154,2025-12-04,Khulna DC,Narayanganj Hub,Narayanganj,RedX,Delivered,SEL1036,Royal Emporium,Comilla,7.14,21.93
SHP100155,ORD100155,PKG100155,2026-02-05,Chattogram DC,Rangpur Hub,Rangpur,RedX,Delivered,SEL1039,Silver Depot,Dhaka,10.64,24.17
SHP100156,ORD100156,PKG100156,2026-03-03,Sylhet DC,Barisal Hub,Barisal,Pathao Courier,Delivered,SEL1053,Trendy Store,Chattogram,5.79,32.96
