shipment_id,request_date,origin_hub,carrier,pickup_status,pickup_duration_hours
SHP100244,2026-07-11,Rangpur Hub,Pathao Courier,Completed,2.69
SHP100245,2025-11-28,Dhaka Hub,Sundarban Courier,Completed,2.68
SHP100246,2026-08-10,Mymensingh Hub,Sundarban Courier,Completed,2.77
SHP100247,2026-07-21,Mymensingh Hub,Sundarban Courier,Cancelled,
SHP100248,2025-11-02,Chattogram Hub,eCourier,Completed,3.45
SHP100249,2025-10-27,Dhaka Hub,eCourier,Completed,3.36
SHP100250,2026-03-04,Dhaka Hub,Pathao Courier,Completed,3.35
SHP100251,2025-09-16,Narayanganj Hub,Sundarban Courier,Completed,1.94
SHP100252,2025-12-13,Rangpur Hub,RedX,Completed,2.68
SHP100253,2026-01-29,Chattogram Hub,Sundarban Courier,Completed,3.82
SHP100254,2026-08-02,Comilla Hub,Pathao Courier,Completed,3.5
SHP100255,2026-08-10,Comilla Hub,Sundarban Courier,Completed,3.11
SHP100256,2025-10-23,Comilla Hub,Sundarban Courier,Pending,
SHP100257,2026-07-06,Khulna Hub,Pathao Courier,Completed,1.82
SHP100258,2025-10-02,Mymensingh Hub,eCourier,Completed,2.02
SHP100259,2026-05-18,Dhaka Hub,Sundarban Courier,Completed,3.11
SHP100260,2026-06-20,Dhaka Hub,RedX,Completed,2.64
SHP100261,2026-07-06,Rajshahi Hub,RedX,Completed,2.64
SHP100262,2025-11-17,Dhaka Hub,Steadfast Courier,Completed,3.04
SHP100263,2026-07-07,Dhaka Hub,Pathao Courier,Completed,1.97
SHP100264,2025-10-11,Dhaka Hub,Pathao Courier,Completed,2.81
SHP100265,2026-02-27,Sylhet Hub,Sundarban Courier,Completed,5.83
SHP100266,2026-02-10,Sylhet Hub,Sundarban Courier,Completed,4.84
SHP100267,2025-12-19,Comilla Hub,Sundarban Courier,Pending,
SHP100268,2025-09-08,Sylhet Hub,eCourier,Completed,4.04
SHP100269,2026-05-26,Khulna Hub,Pathao Courier,Completed,0.89
SHP100270,2025-12-26,Mymensingh Hub,Pathao Courier,Completed,2.53
SHP100271,2026-04-17,Mymensingh Hub,Sundarban Courier,Completed,1.55
SHP100272,2026-01-20,Chattogram Hub,eCourier,Completed,4.78
SHP100273,2026-01-08,Barisal Hub,eCourier,Completed,3.82
SHP100274,2026-07-04,Comilla Hub,eCourier,Completed,3.44
SHP100275,2025-10-03,Mymensingh Hub,RedX,Completed,1.96
SHP100276,2026-05-13,Chattogram Hub,eCourier,Pending,
SHP100277,2026-05-17,Barisal Hub,RedX,Completed,3.51
SHP100278,2026-01-10,Barisal Hub,Pathao Courier,Completed,4.07
SHP100279,2025-11-30,Dhaka Hub,RedX,Failed,1.74
SHP100280,2025-09-02,Rajshahi Hub,eCourier,Completed,2.26
SHP100281,2026-07-22,Dhaka Hub,Sundarban Courier,Failed,1.86
SHP100282,2026-07-25,Dhaka Hub,RedX,Completed,1.21
SHP100283,2025-11-23,Dhaka Hub,Sundarban Courier,Completed,2.9
SHP100284,2025-09-12,Dhaka Hub,RedX,Completed,2.05
SHP100285,2025-10-13,Dhaka Hub,Pathao Courier,Completed,2.41
SHP100286,2025-09-24,Narayanganj Hub,RedX,Completed,1.57
SHP100287,2026-06-15,Dhaka Hub,Steadfast Courier,Completed,2.48
SHP100288,2026-07-06,Dhaka Hub,Pathao Courier,Completed,3.07
SHP100289,2025-10-24,Rangpur Hub,Sundarban Courier,Completed,3.54
SHP100290,2026-05-17,Rajshahi Hub,Pathao Courier,Completed,2.22
SHP100291,2025-11-02,Rajshahi Hub,Pathao Courier,Completed,2.4
SHP100292,2026-01-06,Comilla Hub,Steadfast Courier,Completed,3.47
SHP100293,2026-03-27,Rajshahi Hub,Sundarban Courier,Completed,3.05
SHP100294,2026-05-08,Rajshahi Hub,Sundarban Courier,Completed,2.57
SHP100295,2026-06-30,Sylhet Hub,Pathao Courier,Completed,2.85
SHP100296,2025-09-16,Khulna Hub,Steadfast Courier,Completed,2.14
SHP100297,2025-11-07,Rangpur Hub,Pathao Courier,Completed,2.03
SHP100298,2025-12-07,Chattogram Hub,eCourier,Completed,4.83
SHP100299,2025-12-17,Dhaka Hub,Sundarban Courier,Completed,4.02
SHP100300,2026-08-12,Sylhet Hub,Pathao Courier,Failed,2.92
SHP100301,2026-05-27,Chattogram Hub,RedX,Completed,2.83
SHP100302,2025-12-20,Dhaka Hub,Pathao Courier,Completed,1.23
SHP100303,2026-08-03,Barisal Hub,RedX,Completed,4.32
SHP100304,2026-02-20,Rangpur Hub,Pathao Courier,Completed,3.11
SHP100305,2026-02-21,Dhaka Hub,eCourier,Completed,2.0
SHP100306,2026-01-29,Sylhet Hub,eCourier,Completed,3.84
SHP100307,2025-10-20,Chattogram Hub,eCourier,Completed,5.26
SHP100308,2026-07-21,Khulna Hub,Pathao Courier,Failed,2.22
SHP100309,2025-09-05,Dhaka Hub,eCourier,Completed,3.08
SHP100310,2025-10-31,Comilla Hub,Steadfast Courier,Completed,2.49
SHP100311,2025-11-19,Dhaka Hub,Pathao Courier,Failed,1.92
SHP100312,2025-12-06,Mymensingh Hub,Pathao Courier,Completed,0.5
SHP100313,2025-10-16,Dhaka Hub,eCourier,Completed,2.19
SHP100314,2025-09-07,Rangpur Hub,Pathao Courier,Pending,
SHP100315,2026-04-23,Chattogram Hub,RedX,Pending,
SHP100316,2026-08-02,Rangpur Hub,eCourier,Completed,3.01
SHP100317,2025-10-13,Comilla Hub,Pathao Courier,Completed,2.48
SHP100318,2025-12-12,Comilla Hub,RedX,Completed,2.88
SHP100319,2026-02-23,Mymensingh Hub,RedX,Completed,0.5
SHP100320,2026-07-18,Sylhet Hub,Sundarban Courier,Completed,4.24
SHP100321,2026-04-29,Sylhet Hub,Steadfast Courier,Completed,2.74
SHP100322,2026-05-24,Narayanganj Hub,Pathao Courier,Completed,1.29
SHP100323,2026-03-21,Comilla Hub,Sundarban Courier,Completed,2.92
SHP100324,2026-01-23,Sylhet Hub,eCourier,Completed,3.76
SHP100325,2025-11-09,Chattogram Hub,Pathao Courier,Completed,4.02
SHP100326,2026-06-27,Dhaka Hub,eCourier,Completed,2.78
SHP100327,2026-06-06,Chattogram Hub,Pathao Courier,Completed,3.09
SHP100328,2025-09-09,Sylhet Hub,Sundarban Courier,Completed,4.14
SHP100329,2026-05-06,Mymensingh Hub,Pathao Courier,Completed,3.05
SHP100330,2025-09-30,Chattogram Hub,RedX,Completed,4.59
SHP100331,2026-05-14,Chattogram Hub,eCourier,Completed,4.07
SHP100332,2026-06-13,Dhaka Hub,eCourier,Completed,2.54
SHP100333,2025-10-16,Dhaka Hub,Steadfast Courier,Completed,1.73
SHP100334,2026-01-29,Rangpur Hub,RedX,Completed,3.01
SHP100335,2025-10-13,Dhaka Hub,eCourier,Completed,4.1
SHP100336,2026-03-16,Narayanganj Hub,RedX,Completed,1.67
SHP100337,2026-07-18,Dhaka Hub,Steadfast Courier,Completed,3.18
SHP100338,2025-09-28,Rangpur Hub,RedX,Completed,2.81
SHP100339,2026-01-16,Dhaka Hub,Steadfast Courier,Failed,2.24
SHP100340,2026-08-03,Rajshahi Hub,Pathao Courier,Completed,1.71
SHP100341,2025-12-14,Rangpur Hub,Sundarban Courier,Completed,4.97
SHP100342,2025-10-16,Dhaka Hub,eCourier,Completed,3.01
SHP100343,2026-02-17,Khulna Hub,Pathao Courier,Completed,2.94
SHP100344,2026-02-23,Rangpur Hub,Pathao Courier,Completed,2.28
SHP100345,2026-04-18,Dhaka Hub,Steadfast Courier,Completed,2.4
SHP100346,2025-12-18,Khulna Hub,Sundarban Courier,Failed,2.17
SHP100347,2026-07-28,Khulna Hub,Pathao Courier,Completed,2.8
SHP100348,2026-02-28,Rangpur Hub,Sundarban Courier,Completed,2.98
SHP100349,2025-12-09,Chattogram Hub,Sundarban Courier,Completed,4.17
SHP100350,2026-07-30,Rajshahi Hub,RedX,Completed,1.48
SHP100351,2026-07-17,Narayanganj Hub,Steadfast Courier,Completed,4.1
SHP100352,2026-02-20,Barisal Hub,Steadfast Courier,Completed,3.45
SHP100353,2025-09-09,Dhaka Hub,RedX,Completed,2.26
SHP100354,2026-03-26,Dhaka Hub,RedX,Completed,1.17
SHP100355,2026-03-12,Chattogram Hub,Sundarban Courier,Completed,4.76
SHP100356,2025-10-22,Chattogram Hub,eCourier,Completed,3.32
SHP100357,2026-04-08,Chattogram Hub,Pathao Courier,Completed,3.93
SHP100358,2026-06-18,Sylhet Hub,Pathao Courier,Completed,2.57
SHP100359,2025-10-07,Narayanganj Hub,Steadfast Courier,Completed,2.97
SHP100360,2026-05-09,Rangpur Hub,Steadfast Courier,Completed,1.45
SHP100361,2025-10-19,Dhaka Hub,Sundarban Courier,Completed,2.39
SHP100362,2026-05-18,Sylhet Hub,RedX,Failed,3.85
SHP100363,2026-01-24,Barisal Hub,Sundarban Courier,Completed,5.47
SHP100364,2025-09-03,Dhaka Hub,Sundarban Courier,Completed,2.84
SHP100365,2026-08-01,Dhaka Hub,Sundarban Courier,Completed,2.56
SHP100366,2025-10-28,Narayanganj Hub,Pathao Courier,Completed,2.25
SHP100367,2026-03-26,Rangpur Hub,RedX,Cancelled,
SHP100368,2025-11-02,Comilla Hub,Sundarban Courier,Completed,2.94
SHP100369,2026-07-20,Rangpur Hub,RedX,Completed,2.3
SHP100370,2026-05-14,Barisal Hub,Pathao Courier,Completed,2.56
SHP100371,2026-06-06,Rangpur Hub,Steadfast Courier,Completed,2.22
SHP100372,2026-01-28,Khulna Hub,RedX,Completed,2.45
SHP100373,2026-02-09,Dhaka Hub,Steadfast Courier,Completed,2.98
SHP100374,2026-04-08,Dhaka Hub,Pathao Courier,Completed,2.34
SHP100375,2026-05-30,Rajshahi Hub,RedX,Completed,2.66
SHP100376,2026-06-21,Dhaka Hub,eCourier,Completed,1.78
SHP100377,2025-09-07,Mymensingh Hub,Sundarban Courier,Completed,1.95
