shipment_id,order_code,package_code,order_date,warehouse,origin_city,seller_code,shop_name,seller_region,destination_region,carrier,sku,product,category,qty,weight_kg,order_value,shipping_cost,expected_delivery,actual_delivery,status,delay_reason
SHP100021,ORD100021,PKG100021,2026-04-17,Dhaka Hub,Dhaka,SEL1054,Trendy Trading,Narayanganj,Barisal,Sundarban Courier,SKU1037,Lipstick (V2),Beauty,2,0.92,4438.64,84.01,2026-04-21,2026-04-21,Delivered,
SHP100022,ORD100022,PKG100022,2026-01-20,Sylhet DC,Sylhet,SEL1030,Nova Retail,Dhaka,Sylhet,Sundarban Courier,SKU1001,Wireless Earbuds (V2),Electronics,3,1.51,6177.36,72.4,2026-01-21,2026-01-21,Delivered,
SHP100023,ORD100023,PKG100023,2026-01-08,Rajshahi DC,Rajshahi,SEL1018,Golden Store,Chattogram,Comilla,Sundarban Courier,SKU1020,Bedsheet Set,Home & Living,4,0.68,13790.72,96.24,2026-01-12,2026-01-12,Delivered,
SHP100024,ORD100024,PKG100024,2026-07-04,Khulna DC,Khulna,SEL1030,Nova Retail,Dhaka,Rangpur,RedX,SKU1032,Sunscreen SPF50,Beauty,5,7.3,7836.7,259.69,2026-07-10,2026-07-10,Delivered,
SHP100025,ORD100025,PKG100025,2025-10-03,Khulna DC,Khulna,SEL1009,Elite Emporium,Dhaka,Comilla,Steadfast Courier,SKU1011,Cotton T-Shirt (V2),Apparel,4,10.02,16725.72,331.84,2025-10-06,2025-10-06,Delivered,
SHP100026,ORD100026,PKG100026,2026-05-13,Dhaka Hub,Dhaka,SEL1049,Suncity Gallery,Khulna,Mymensingh,Sundarban Courier,SKU1021,Bedsheet Set (V2),Home & Living,4,4.95,6768.76,182.21,2026-05-19,2026-05-19,Delivered,
SHP100027,ORD100027,PKG100027,2026-05-17,Dhaka Hub,Dhaka,SEL1043,Smart Emporium,Barisal,Rajshahi,RedX,SKU1043,Mustard Oil 1L (V2),Grocery,4,1.27,6035.16,117.01,2026-05-20,2026-05-20,Delivered,
SHP100028,ORD100028,PKG100028,2026-01-10,Chattogram DC,Chattogram,SEL1008,Elite Depot,Chattogram,Sylhet,Steadfast Courier,SKU1024,Non-stick Pan,Home & Living,1,4.61,3535.97,175.37,2026-01-12,,In Transit,
SHP100029,ORD100029,PKG100029,2025-11-30,Chattogram DC,Chattogram,SEL1034,Riverside Emporium,Dhaka,Narayanganj,eCourier,SKU1048,Honey Jar,Grocery,2,4.31,6237.72,148.89,2025-12-03,2025-12-03,Delivered,
SHP100030,ORD100030,PKG100030,2025-09-02,Dhaka Hub,Dhaka,SEL1032,Prime Trading,Khulna,Mymensingh,Pathao Courier,SKU1026,Storage Box,Home & Living,2,7.79,4360.48,233.6,2025-09-07,,Delayed,Weather disruption
SHP100031,ORD100031,PKG100031,2026-07-22,Rajshahi DC,Rajshahi,SEL1012,Elite Traders,Dhaka,Comilla,Steadfast Courier,SKU1041,Basmati Rice 5kg (V2),Grocery,4,7.9,15088.6,253.98,2026-07-26,2026-07-29,Delivered Late,Address issue
SHP100032,ORD100032,PKG100032,2026-07-25,Dhaka Hub,Dhaka,SEL1007,Delta Trading,Dhaka,Barisal,Pathao Courier,SKU1027,Storage Box (V2),Home & Living,4,1.42,1362.2,101.13,2026-07-29,2026-08-01,Delivered Late,Vehicle breakdown
SHP100033,ORD100033,PKG100033,2025-11-23,Khulna DC,Khulna,SEL1045,Smart Store,Dhaka,Barisal,RedX,SKU1015,Sneakers (V2),Apparel,1,5.16,1138.49,200.71,2025-11-29,2025-11-29,Delivered,
SHP100034,ORD100034,PKG100034,2025-09-12,Sylhet DC,Sylhet,SEL1015,Fresh Trading,Dhaka,Dhaka,RedX,SKU1014,Sneakers,Apparel,1,7.78,2078.85,273.26,2025-09-16,2025-09-16,Delivered,
SHP100035,ORD100035,PKG100035,2025-10-13,Khulna DC,Khulna,SEL1031,Prime Bazaar,Chattogram,Dhaka,eCourier,SKU1046,Spice Combo,Grocery,3,3.25,5506.59,166.86,2025-10-15,,Delayed,Weather disruption
SHP100036,ORD100036,PKG100036,2025-09-24,Chattogram DC,Chattogram,SEL1014,Fresh Hub,Khulna,Mymensingh,Pathao Courier,SKU1043,Mustard Oil 1L (V2),Grocery,5,5.0,7543.95,214.7,2025-09-29,2025-09-29,Delivered,
SHP100037,ORD100037,PKG100037,2026-06-15,Chattogram DC,Chattogram,SEL1039,Silver Depot,Dhaka,Sylhet,Pathao Courier,SKU1002,Power Bank,Electronics,1,7.44,3884.9,235.72,2026-06-18,,Delayed,Warehouse backlog
SHP100038,ORD100038,PKG100038,2026-07-06,Khulna DC,Khulna,SEL1002,Bengal Hub,Barisal,Dhaka,eCourier,SKU1036,Lipstick,Beauty,5,4.95,3575.8,223.19,2026-07-10,2026-07-10,Delivered,
SHP100039,ORD100039,PKG100039,2025-10-24,Chattogram DC,Chattogram,SEL1021,Horizon Collection,Narayanganj,Mymensingh,Pathao Courier,SKU1006,Bluetooth Speaker,Electronics,1,0.56,3460.96,101.32,2025-10-29,2025-10-29,Delivered,
SHP100040,ORD100040,PKG100040,2026-05-17,Khulna DC,Khulna,SEL1032,Prime Trading,Khulna,Rangpur,Sundarban Courier,SKU1020,Bedsheet Set,Home & Living,2,2.83,6895.36,169.5,2026-05-21,2026-05-21,Delivered,
SHP100041,ORD100041,PKG100041,2025-11-02,Dhaka Hub,Dhaka,SEL1026,Metro Outlet,Sylhet,Chattogram,eCourier,SKU1008,Phone Case,Electronics,4,9.36,2829.16,254.2,2025-11-05,2025-11-05,Delivered,
SHP100042,ORD100042,PKG100042,2026-01-06,Dhaka Hub,Dhaka,SEL1036,Royal Emporium,Comilla,Rajshahi,RedX,SKU1038,Perfume,Beauty,4,3.13,4548.24,144.99,2026-01-10,2026-01-10,Delivered,
SHP100043,ORD100043,PKG100043,2026-03-27,Khulna DC,Khulna,SEL1010,Elite Gallery,Sylhet,Rajshahi,Pathao Courier,SKU1017,Saree (V2),Apparel,5,9.85,2138.05,296.96,2026-03-30,,Delayed,Address issue
SHP100044,ORD100044,PKG100044,2026-05-08,Khulna DC,Khulna,SEL1026,Metro Outlet,Sylhet,Dhaka,Sundarban Courier,SKU1003,Power Bank (V2),Electronics,1,5.71,3183.55,187.51,2026-05-11,,In Transit,
SHP100045,ORD100045,PKG100045,2026-06-30,Dhaka Hub,Dhaka,SEL1045,Smart Store,Dhaka,Rangpur,Steadfast Courier,SKU1024,Non-stick Pan,Home & Living,1,5.78,3535.97,213.14,2026-07-04,2026-07-04,Delivered,
SHP100046,ORD100046,PKG100046,2025-09-16,Rajshahi DC,Rajshahi,SEL1020,Horizon Bazaar,Dhaka,Khulna,Sundarban Courier,SKU1013,Panjabi (V2),Apparel,3,9.29,11187.03,227.88,2025-09-19,2025-09-19,Delivered,
SHP100047,ORD100047,PKG100047,2025-11-07,Dhaka Hub,Dhaka,SEL1009,Elite Emporium,Dhaka,Comilla,Pathao Courier,SKU1049,Honey Jar (V2),Grocery,3,4.72,2273.76,183.95,2025-11-09,2025-11-09,Delivered,
SHP100048,ORD100048,PKG100048,2025-12-07,Rajshahi DC,Rajshahi,SEL1050,Suncity Retail,Chattogram,Chattogram,Pathao Courier,SKU1008,Phone Case,Electronics,2,3.01,1414.58,135.79,2025-12-11,2025-12-11,Delivered,
SHP100049,ORD100049,PKG100049,2025-12-17,Khulna DC,Khulna,SEL1046,Smart Traders,Comilla,Comilla,Sundarban Courier,SKU1025,Non-stick Pan (V2),Home & Living,4,1.44,3986.72,97.79,2025-12-21,2025-12-21,Returned,
SHP100050,ORD100050,PKG100050,2026-08-12,Rajshahi DC,Rajshahi,SEL1040,Silver Emporium,Barisal,Dhaka,Steadfast Courier,SKU1001,Wireless Earbuds (V2),Electronics,2,8.13,4118.24,289.85,2026-08-16,2026-08-13,Delivered Late,Warehouse backlog
SHP100051,ORD100051,PKG100051,2026-05-27,Rajshahi DC,Rajshahi,SEL1047,Suncity Depot,Dhaka,Mymensingh,Sundarban Courier,SKU1019,Denim Jacket (V2),Apparel,5,5.75,14488.7,192.49,2026-06-02,2026-06-02,Delivered,
SHP100052,ORD100052,PKG100052,2025-12-20,Chattogram DC,Chattogram,SEL1046,Smart Traders,Comilla,Mymensingh,Pathao Courier,SKU1027,Storage Box (V2),Home & Living,1,9.75,340.55,352.78,2025-12-22,,In Transit,
SHP100053,ORD100053,PKG100053,2026-08-03,Khulna DC,Khulna,SEL1044,Smart Mart,Rangpur,Rajshahi,RedX,SKU1046,Spice Combo,Grocery,4,5.6,7342.12,177.84,2026-08-06,2026-08-06,Delivered,
SHP100054,ORD100054,PKG100054,2026-02-20,Chattogram DC,Chattogram,SEL1030,Nova Retail,Dhaka,Sylhet,Pathao Courier,SKU1006,Bluetooth Speaker,Electronics,3,5.09,10382.88,194.62,2026-02-26,,Cancelled,
SHP100055,ORD100055,PKG100055,2026-02-21,Sylhet DC,Sylhet,SEL1001,Bengal Emporium,Rangpur,Chattogram,Pathao Courier,SKU1043,Mustard Oil 1L (V2),Grocery,1,3.73,1508.79,133.95,2026-02-24,2026-02-24,Delivered,
SHP100056,ORD100056,PKG100056,2026-01-29,Chattogram DC,Chattogram,SEL1035,Riverside Gallery,Mymensingh,Khulna,Steadfast Courier,SKU1007,Bluetooth Speaker (V2),Electronics,4,2.55,14277.52,143.01,2026-02-04,2026-02-04,Delivered,
SHP100057,ORD100057,PKG100057,2025-10-20,Sylhet DC,Sylhet,SEL1016,Golden Hub,Comilla,Rangpur,eCourier,SKU1046,Spice Combo,Grocery,1,10.0,1835.53,348.85,2025-10-25,2025-10-26,Delivered Late,Address issue
SHP100058,ORD100058,PKG100058,2026-07-21,Rajshahi DC,Rajshahi,SEL1046,Smart Traders,Comilla,Mymensingh,Pathao Courier,SKU1034,Hair Serum,Beauty,3,1.32,6577.71,121.79,2026-07-25,2026-07-25,Delivered,
SHP100059,ORD100059,PKG100059,2025-09-05,Sylhet DC,Sylhet,SEL1028,Modern Depot,Khulna,Chattogram,Sundarban Courier,SKU1013,Panjabi (V2),Apparel,4,10.85,14916.04,305.76,2025-09-08,2025-09-08,Delivered,
SHP100060,ORD100060,PKG100060,2025-10-31,Dhaka Hub,Dhaka,SEL1054,Trendy Trading,Narayanganj,Dhaka,Pathao Courier,SKU1016,Saree,Apparel,1,0.52,2562.44,49.29,2025-11-02,2025-11-02,Delivered,
SHP100061,ORD100061,PKG100061,2025-11-19,Chattogram DC,Chattogram,SEL1035,Riverside Gallery,Mymensingh,Barisal,Pathao Courier,SKU1035,Hair Serum (V2),Beauty,2,6.36,1948.4,194.12,2025-11-24,2025-11-24,Delivered,
SHP100062,ORD100062,PKG100062,2025-12-06,Khulna DC,Khulna,SEL1033,Riverside Collection,Sylhet,Barisal,RedX,SKU1049,Honey Jar (V2),Grocery,2,0.89,1515.84,90.19,2025-12-08,2025-12-08,Delivered,
SHP100063,ORD100063,PKG100063,2025-10-16,Sylhet DC,Sylhet,SEL1055,Urban Collection,Chattogram,Narayanganj,RedX,SKU1039,Perfume (V2),Beauty,5,9.4,15318.45,232.59,2025-10-21,2025-10-21,Delivered,
SHP100064,ORD100064,PKG100064,2025-09-07,Sylhet DC,Sylhet,SEL1028,Modern Depot,Khulna,Mymensingh,eCourier,SKU1003,Power Bank (V2),Electronics,2,2.7,6367.1,151.38,2025-09-12,2025-09-12,Delivered,
SHP100065,ORD100065,PKG100065,2026-04-23,Sylhet DC,Sylhet,SEL1022,Horizon Depot,Sylhet,Barisal,Steadfast Courier,SKU1001,Wireless Earbuds (V2),Electronics,5,6.88,10295.6,266.08,2026-04-28,,In Transit,
SHP100066,ORD100066,PKG100066,2026-08-02,Chattogram DC,Chattogram,SEL1022,Horizon Depot,Sylhet,Barisal,Pathao Courier,SKU1005,Smartwatch (V2),Electronics,3,11.01,13181.88,271.97,2026-08-04,2026-08-04,Delivered,
SHP100067,ORD100067,PKG100067,2025-10-13,Sylhet DC,Sylhet,SEL1052,Trendy Collection,Rangpur,Rangpur,Steadfast Courier,SKU1041,Basmati Rice 5kg (V2),Grocery,5,7.86,18860.75,257.34,2025-10-18,2025-10-18,Delivered,
SHP100068,ORD100068,PKG100068,2025-12-12,Khulna DC,Khulna,SEL1045,Smart Store,Dhaka,Rajshahi,RedX,SKU1003,Power Bank (V2),Electronics,5,2.3,15917.75,122.75,2025-12-17,2025-12-17,Delivered,
SHP100069,ORD100069,PKG100069,2026-02-23,Rajshahi DC,Rajshahi,SEL1009,Elite Emporium,Dhaka,Rangpur,Pathao Courier,SKU1028,Curtain Set,Home & Living,2,9.6,1642.32,220.51,2026-02-25,2026-02-25,Delivered,
SHP100070,ORD100070,PKG100070,2026-07-18,Khulna DC,Khulna,SEL1029,Modern Emporium,Sylhet,Chattogram,eCourier,SKU1017,Saree (V2),Apparel,3,5.41,1282.83,164.08,2026-07-24,2026-07-24,Returned,
SHP100071,ORD100071,PKG100071,2026-04-29,Rajshahi DC,Rajshahi,SEL1022,Horizon Depot,Sylhet,Comilla,Pathao Courier,SKU1025,Non-stick Pan (V2),Home & Living,4,0.36,3986.72,94.89,2026-05-02,2026-05-02,Delivered,
SHP100072,ORD100072,PKG100072,2026-05-24,Rajshahi DC,Rajshahi,SEL1038,Royal Outlet,Khulna,Comilla,RedX,SKU1043,Mustard Oil 1L (V2),Grocery,1,5.94,1508.79,240.73,2026-05-30,2026-05-30,Delivered,
SHP100073,ORD100073,PKG100073,2026-03-21,Dhaka Hub,Dhaka,SEL1003,Classic Fashion House,Sylhet,Rajshahi,eCourier,SKU1033,Sunscreen SPF50 (V2),Beauty,4,9.79,7046.0,297.6,2026-03-23,2026-03-23,Delivered,
SHP100074,ORD100074,PKG100074,2026-01-23,Chattogram DC,Chattogram,SEL1042,Smart Bazaar,Rajshahi,Rajshahi,Pathao Courier,SKU1009,Phone Case (V2),Electronics,3,5.27,6327.54,183.73,2026-01-26,2026-01-26,Delivered,
SHP100075,ORD100075,PKG100075,2025-11-09,Chattogram DC,Chattogram,SEL1044,Smart Mart,Rangpur,Rajshahi,Steadfast Courier,SKU1035,Hair Serum (V2),Beauty,1,9.15,974.2,212.62,2025-11-14,2025-11-14,Delivered,
SHP100076,ORD100076,PKG100076,2026-06-27,Dhaka Hub,Dhaka,SEL1013,Elite Trading,Dhaka,Comilla,Pathao Courier,SKU1013,Panjabi (V2),Apparel,5,8.53,18645.05,287.65,2026-06-30,2026-06-30,Delivered,
SHP100077,ORD100077,PKG100077,2026-06-06,Dhaka Hub,Dhaka,SEL1009,Elite Emporium,Dhaka,Chattogram,eCourier,SKU1030,Face Wash,Beauty,2,5.59,6779.44,207.01,2026-06-09,2026-06-09,Delivered,
SHP100078,ORD100078,PKG100078,2025-09-09,Khulna DC,Khulna,SEL1037,Royal Gallery,Dhaka,Khulna,Pathao Courier,SKU1047,Spice Combo (V2),Grocery,5,4.01,7021.15,133.88,2025-09-11,2025-09-11,Delivered,
SHP100079,ORD100079,PKG100079,2026-05-06,Chattogram DC,Chattogram,SEL1015,Fresh Trading,Dhaka,Rangpur,Pathao Courier,SKU1014,Sneakers,Apparel,2,8.77,4157.7,225.97,2026-05-11,2026-05-11,Delivered,
SHP100080,ORD100080,PKG100080,2025-09-30,Dhaka Hub,Dhaka,SEL1056,Urban Store,Khulna,Rangpur,Sundarban Courier,SKU1007,Bluetooth Speaker (V2),Electronics,3,4.55,10708.14,183.48,2025-10-02,2025-10-02,Delivered,
SHP100081,ORD100081,PKG100081,2026-05-14,Chattogram DC,Chattogram,SEL1046,Smart Traders,Comilla,Sylhet,eCourier,SKU1013,Panjabi (V2),Apparel,2,2.21,7458.02,127.43,2026-05-19,2026-05-19,Delivered,
SHP100082,ORD100082,PKG100082,2026-06-13,Chattogram DC,Chattogram,SEL1057,Value Hub,Dhaka,Chattogram,Pathao Courier,SKU1022,Table Lamp,Home & Living,5,3.99,21862.7,102.57,2026-06-15,2026-06-15,Delivered,
SHP100083,ORD100083,PKG100083,2025-10-16,Dhaka Hub,Dhaka,SEL1032,Prime Trading,Khulna,Barisal,Steadfast Courier,SKU1039,Perfume (V2),Beauty,5,10.55,15318.45,307.53,2025-10-20,2025-10-20,Delivered,
SHP100084,ORD100084,PKG100084,2026-01-29,Dhaka Hub,Dhaka,SEL1056,Urban Store,Khulna,Rangpur,Pathao Courier,SKU1020,Bedsheet Set,Home & Living,4,3.54,13790.72,169.32,2026-02-02,2026-02-02,Delivered,
SHP100085,ORD100085,PKG100085,2025-10-13,Khulna DC,Khulna,SEL1000,Bengal Bazaar,Mymensingh,Mymensingh,Sundarban Courier,SKU1015,Sneakers (V2),Apparel,5,2.97,5692.45,166.15,2025-10-16,2025-10-16,Delivered,
SHP100086,ORD100086,PKG100086,2026-03-16,Rajshahi DC,Rajshahi,SEL1017,Golden Outlet,Khulna,Dhaka,Sundarban Courier,SKU1044,Green Tea Pack,Grocery,4,1.77,15081.32,142.95,2026-03-22,2026-03-22,Delivered,
SHP100087,ORD100087,PKG100087,2026-07-18,Sylhet DC,Sylhet,SEL1000,Bengal Bazaar,Mymensingh,Dhaka,Pathao Courier,SKU1017,Saree (V2),Apparel,2,0.85,855.22,89.25,2026-07-23,2026-07-23,Delivered,
SHP100088,ORD100088,PKG100088,2025-09-28,Khulna DC,Khulna,SEL1040,Silver Emporium,Barisal,Khulna,Steadfast Courier,SKU1046,Spice Combo,Grocery,5,11.72,9177.65,309.03,2025-09-29,2025-09-29,Delivered,
SHP100089,ORD100089,PKG100089,2026-01-16,Rajshahi DC,Rajshahi,SEL1030,Nova Retail,Dhaka,Barisal,Sundarban Courier,SKU1023,Table Lamp (V2),Home & Living,3,6.53,12105.24,242.26,2026-01-21,2026-01-21,Delivered,
SHP100090,ORD100090,PKG100090,2026-08-03,Rajshahi DC,Rajshahi,SEL1017,Golden Outlet,Khulna,Dhaka,RedX,SKU1025,Non-stick Pan (V2),Home & Living,2,8.81,1993.36,290.81,2026-08-08,2026-08-08,Delivered,
SHP100091,ORD100091,PKG100091,2025-12-14,Dhaka Hub,Dhaka,SEL1018,Golden Store,Chattogram,Chattogram,RedX,SKU1024,Non-stick Pan,Home & Living,1,9.32,3535.97,228.98,2025-12-20,2025-12-20,Delivered,
SHP100092,ORD100092,PKG100092,2025-10-16,Rajshahi DC,Rajshahi,SEL1038,Royal Outlet,Khulna,Rajshahi,RedX,SKU1044,Green Tea Pack,Grocery,4,4.36,15081.32,143.42,2025-10-17,2025-10-17,Delivered,
SHP100093,ORD100093,PKG100093,2026-02-17,Dhaka Hub,Dhaka,SEL1010,Elite Gallery,Sylhet,Sylhet,RedX,SKU1040,Basmati Rice 5kg,Grocery,2,9.63,4103.22,362.27,2026-02-23,2026-02-23,Delivered,
SHP100094,ORD100094,PKG100094,2026-02-23,Dhaka Hub,Dhaka,SEL1030,Nova Retail,Dhaka,Mymensingh,Steadfast Courier,SKU1028,Curtain Set,Home & Living,4,11.55,3284.64,289.13,2026-02-25,2026-02-25,Delivered,
SHP100095,ORD100095,PKG100095,2026-04-18,Sylhet DC,Sylhet,SEL1036,Royal Emporium,Comilla,Dhaka,RedX,SKU1014,Sneakers,Apparel,1,8.95,2078.85,234.42,2026-04-20,,In Transit,
SHP100096,ORD100096,PKG100096,2025-12-18,Khulna DC,Khulna,SEL1014,Fresh Hub,Khulna,Comilla,RedX,SKU1044,Green Tea Pack,Grocery,4,8.6,15081.32,200.87,2025-12-22,2025-12-22,Delivered,
SHP100097,ORD100097,PKG100097,2026-07-28,Dhaka Hub,Dhaka,SEL1013,Elite Trading,Dhaka,Chattogram,RedX,SKU1000,Wireless Earbuds,Electronics,4,5.3,14066.84,174.66,2026-08-01,2026-08-01,Delivered,
SHP100098,ORD100098,PKG100098,2026-02-28,Chattogram DC,Chattogram,SEL1021,Horizon Collection,Narayanganj,Rajshahi,RedX,SKU1024,Non-stick Pan,Home & Living,3,10.13,10607.91,301.26,2026-03-04,2026-03-04,Delivered,
SHP100099,ORD100099,PKG100099,2025-12-09,Chattogram DC,Chattogram,SEL1035,Riverside Gallery,Mymensingh,Narayanganj,Sundarban Courier,SKU1006,Bluetooth Speaker,Electronics,4,1.25,13843.84,96.67,2025-12-13,2025-12-13,Delivered,
SHP100100,ORD100100,PKG100100,2026-07-30,Chattogram DC,Chattogram,SEL1015,Fresh Trading,Dhaka,Rangpur,RedX,SKU1008,Phone Case,Electronics,5,9.05,3536.45,261.43,2026-08-03,,In Transit,
SHP100101,ORD100101,PKG100101,2026-07-17,Rajshahi DC,Rajshahi,SEL1022,Horizon Depot,Sylhet,Narayanganj,Sundarban Courier,SKU1023,Table Lamp (V2),Home & Living,5,4.47,20175.4,205.7,2026-07-22,2026-07-22,Delivered,
SHP100102,ORD100102,PKG100102,2026-02-20,Chattogram DC,Chattogram,SEL1032,Prime Trading,Khulna,Dhaka,eCourier,SKU1000,Wireless Earbuds,Electronics,3,6.88,10550.13,192.09,2026-02-23,2026-02-23,Delivered,
SHP100103,ORD100103,PKG100103,2025-09-09,Chattogram DC,Chattogram,SEL1011,Elite Outlet,Chattogram,Mymensingh,Steadfast Courier,SKU1043,Mustard Oil 1L (V2),Grocery,5,10.74,7543.95,365.34,2025-09-12,2025-09-12,Delivered,
SHP100104,ORD100104,PKG100104,2026-03-26,Dhaka Hub,Dhaka,SEL1034,Riverside Emporium,Dhaka,Dhaka,Steadfast Courier,SKU1007,Bluetooth Speaker (V2),Electronics,5,7.34,17846.9,225.8,2026-03-27,2026-03-31,Delivered Late,Courier capacity shortage
SHP100105,ORD100105,PKG100105,2026-03-12,Dhaka Hub,Dhaka,SEL1008,Elite Depot,Chattogram,Rangpur,eCourier,SKU1023,Table Lamp (V2),Home & Living,1,0.5,4035.08,88.18,2026-03-17,2026-03-17,Returned,
SHP100106,ORD100106,PKG100106,2025-10-22,Dhaka Hub,Dhaka,SEL1008,Elite Depot,Chattogram,Khulna,RedX,SKU1010,Cotton T-Shirt,Apparel,2,8.73,3525.94,264.48,2025-10-27,2025-10-27,Delivered,
SHP100107,ORD100107,PKG100107,2026-04-08,Sylhet DC,Sylhet,SEL1014,Fresh Hub,Khulna,Mymensingh,eCourier,SKU1016,Saree,Apparel,4,11.16,10249.76,368.07,2026-04-11,2026-04-11,Delivered,
